# Region type : patch inlet
# Faces  :      1347
# Area   :      1.67632194e-04
# Time          	sum(phi)
2.22222e-06     	-5.00164490e-08
4.7619e-06      	-1.11187371e-07
7.80952e-06     	-1.98915956e-07
1.08571e-05     	-2.97665292e-07
1.39048e-05     	-4.03312409e-07
1.69524e-05     	-5.13394164e-07
2e-05           	-6.26378275e-07
2.33333e-05     	-7.51365441e-07
2.66667e-05     	-8.76957567e-07
3e-05           	-1.00274044e-06
3.33333e-05     	-1.12874573e-06
3.66667e-05     	-1.25496034e-06
4e-05           	-1.38129282e-06
4.4e-05         	-1.53243609e-06
4.8e-05         	-1.68380072e-06
5.2e-05         	-1.83517814e-06
5.6e-05         	-1.98650171e-06
6e-05           	-2.13775438e-06
6.4e-05         	-2.28893716e-06
6.8e-05         	-2.44005247e-06
7.2e-05         	-2.59109834e-06
7.6e-05         	-2.74206781e-06
8e-05           	-2.89295383e-06
8.4e-05         	-3.04375411e-06
8.8e-05         	-3.19447350e-06
9.2e-05         	-3.34511974e-06
9.6e-05         	-3.49569914e-06
0.0001          	-3.64621385e-06
0.000104        	-3.79666381e-06
0.000108        	-3.94704927e-06
0.000112        	-4.09737164e-06
0.000116        	-4.24763265e-06
0.00012         	-4.39783490e-06
0.000124        	-4.54798086e-06
0.000128        	-4.69807158e-06
0.000132        	-4.84811744e-06
0.000136        	-4.99810606e-06
0.00014         	-5.14802907e-06
0.000144        	-5.29788895e-06
0.000148        	-5.44768369e-06
0.000152        	-5.59741204e-06
0.000156        	-5.74706935e-06
0.00016         	-5.89665137e-06
0.000164        	-6.04616063e-06
0.000168        	-6.19559577e-06
0.000172        	-6.34495596e-06
0.000176        	-6.49424132e-06
0.00018         	-6.64345058e-06
0.000184        	-6.79258213e-06
0.000188        	-6.94163412e-06
0.000192        	-7.09060579e-06
0.000196        	-7.23949709e-06
0.0002          	-7.38830835e-06
0.000204        	-7.53704051e-06
0.000208        	-7.68569466e-06
0.000212        	-7.83427108e-06
0.000216        	-7.98276930e-06
0.00022         	-8.13118849e-06
0.000224        	-8.27952826e-06
0.000228        	-8.42778872e-06
0.000232        	-8.57597009e-06
0.000236        	-8.72407293e-06
0.00024         	-8.87209829e-06
0.000244        	-9.02004655e-06
0.000248        	-9.16791752e-06
0.000252        	-9.31571118e-06
0.000256        	-9.46342796e-06
0.00026         	-9.61106838e-06
0.000264        	-9.75863249e-06
0.000268        	-9.90612065e-06
0.000272        	-1.00535338e-05
0.000276        	-1.02008722e-05
0.00028         	-1.03481366e-05
0.000284        	-1.04953271e-05
0.000288        	-1.06424434e-05
0.000292        	-1.07894836e-05
0.000296        	-1.09364435e-05
0.0003          	-1.10833200e-05
0.000304        	-1.12301124e-05
0.000308        	-1.13768195e-05
0.000312        	-1.15234424e-05
0.000316        	-1.16699812e-05
0.00032         	-1.18164362e-05
0.000324        	-1.19628087e-05
0.000328        	-1.21090979e-05
0.000332        	-1.22553056e-05
0.000336        	-1.24014333e-05
0.00034         	-1.25474833e-05
0.000344        	-1.26934573e-05
0.000348        	-1.28393541e-05
0.000352        	-1.29851718e-05
0.000356        	-1.31309108e-05
0.00036         	-1.32765717e-05
0.000364        	-1.34221519e-05
0.000368        	-1.35676507e-05
0.000372        	-1.37130689e-05
0.000376        	-1.38584077e-05
0.00038         	-1.40036665e-05
0.000384        	-1.41488431e-05
0.000388        	-1.42939365e-05
0.000392        	-1.44389454e-05
0.000396        	-1.45838688e-05
0.0004          	-1.47287055e-05
0.000404        	-1.48734545e-05
0.000408        	-1.50181152e-05
0.000412        	-1.51626873e-05
0.000416        	-1.53071702e-05
0.00042         	-1.54515622e-05
0.000424        	-1.55958640e-05
0.000428        	-1.57400780e-05
0.000432        	-1.58842051e-05
0.000436        	-1.60282448e-05
0.00044         	-1.61721964e-05
0.000444        	-1.63160606e-05
0.000448        	-1.64598370e-05
0.000452        	-1.66035297e-05
0.000456        	-1.67471386e-05
0.00046         	-1.68906646e-05
0.000464        	-1.70341071e-05
0.000468        	-1.71774659e-05
0.000472        	-1.73207411e-05
0.000476        	-1.74639314e-05
0.00048         	-1.76070348e-05
0.000484        	-1.77500474e-05
0.000488        	-1.78929694e-05
0.000492        	-1.80358015e-05
0.000496        	-1.81785449e-05
0.0005          	-1.83211980e-05
0.000504        	-1.84637588e-05
0.000508        	-1.86062256e-05
0.000512        	-1.87486022e-05
0.000516        	-1.88908857e-05
0.00052         	-1.90330791e-05
0.000524        	-1.91751785e-05
0.000528        	-1.93171825e-05
0.000532        	-1.94590821e-05
0.000536        	-1.96008702e-05
0.00054         	-1.97425417e-05
0.000544        	-1.98840903e-05
0.000548        	-2.00255129e-05
0.000552        	-2.01668091e-05
0.000556        	-2.03079796e-05
0.00056         	-2.04490257e-05
0.000564        	-2.05899441e-05
0.000568        	-2.07307314e-05
0.000572        	-2.08713968e-05
0.000576        	-2.10119402e-05
0.00058         	-2.11523597e-05
0.000584        	-2.12926492e-05
0.000588        	-2.14327984e-05
0.000592        	-2.15728081e-05
0.000596        	-2.17126709e-05
0.0006          	-2.18523804e-05
0.000604        	-2.19919373e-05
0.000608        	-2.21313442e-05
0.000612        	-2.22706045e-05
0.000616        	-2.24097181e-05
0.00062         	-2.25486832e-05
0.000624        	-2.26874982e-05
0.000628        	-2.28261619e-05
0.000632        	-2.29646839e-05
0.000636        	-2.31030761e-05
0.00064         	-2.32413536e-05
0.000644        	-2.33795332e-05
0.000648        	-2.35176259e-05
0.000652        	-2.36556274e-05
0.000656        	-2.37935222e-05
0.00066         	-2.39312974e-05
0.000664        	-2.40689346e-05
0.000668        	-2.42064330e-05
0.000672        	-2.43438008e-05
0.000676        	-2.44810510e-05
0.00068         	-2.46181848e-05
0.000684        	-2.47552002e-05
0.000688        	-2.48921082e-05
0.000692        	-2.50289237e-05
0.000696        	-2.51656500e-05
0.0007          	-2.53022924e-05
0.000704        	-2.54388579e-05
0.000708        	-2.55753274e-05
0.000712        	-2.57116799e-05
0.000716        	-2.58479110e-05
0.00072         	-2.59840113e-05
0.000724        	-2.61199690e-05
0.000728        	-2.62557726e-05
0.000732        	-2.63914188e-05
0.000736        	-2.65268984e-05
0.00074         	-2.66622023e-05
0.000744        	-2.67973257e-05
0.000748        	-2.69322627e-05
0.000752        	-2.70670122e-05
0.000756        	-2.72015793e-05
0.00076         	-2.73359699e-05
0.000764        	-2.74701818e-05
0.000768        	-2.76042278e-05
0.000772        	-2.77381267e-05
0.000776        	-2.78718855e-05
0.00078         	-2.80054956e-05
0.000784        	-2.81389368e-05
0.000788        	-2.82721943e-05
0.000792        	-2.84052420e-05
0.000796        	-2.85380758e-05
0.0008          	-2.86706886e-05
0.000804        	-2.88030743e-05
0.000808        	-2.89352451e-05
0.000812        	-2.90671989e-05
0.000816        	-2.91989347e-05
0.00082         	-2.93304644e-05
0.000824        	-2.94618018e-05
0.000828        	-2.95929736e-05
0.000832        	-2.97239976e-05
0.000836        	-2.98548715e-05
0.00084         	-2.99855818e-05
0.000844        	-3.01161180e-05
0.000848        	-3.02464749e-05
0.000852        	-3.03766477e-05
0.000856        	-3.05066301e-05
0.00086         	-3.06364227e-05
0.000864        	-3.07660299e-05
0.000868        	-3.08954576e-05
0.000872        	-3.10247119e-05
0.000876        	-3.11537958e-05
0.00088         	-3.12827089e-05
0.000884        	-3.14114500e-05
0.000888        	-3.15400131e-05
0.000892        	-3.16684041e-05
0.000896        	-3.17966461e-05
0.0009          	-3.19247673e-05
0.000904        	-3.20527719e-05
0.000908        	-3.21806526e-05
0.000912        	-3.23083986e-05
0.000916        	-3.24359870e-05
0.00092         	-3.25634049e-05
